Model_Name,Rating,Rating_numbers,Reviews,Storage,Display,Camera,Battery,Processor,Price,Offers
"Samsung Galaxy F06 5G (Lit Violet, 64 GB)",4.2,"42,609 Ratings","2,577 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor,"₹9,499",Bank Offer
"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",4.2,"42,609 Ratings","2,577 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor,"₹9,499",Bank Offer
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",4.5,"83,766 Ratings","4,878 Reviews",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 2MP | 16MP Front Camera,7000 mAh Battery,Snapdragon 6 Gen 4 Processor,"₹20,999",Off on Exchange
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",4.5,"83,766 Ratings","4,878 Reviews",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP + 2MP | 16MP Front Camera,7000 mAh Battery,Snapdragon 6 Gen 4 Processor,"₹18,999",Off on Exchange
"vivo T4x 5G (Pronto Purple, 256 GB)",4.4,"1,63,990 Ratings","7,595 Reviews",8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor,"₹20,999",Bank Offer
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4.2,"22,443 Ratings","1,462 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor,"₹11,999",Bank Offer
"vivo T4x 5G (Pronto Purple, 128 GB)",4.4,"1,63,990 Ratings","7,595 Reviews",8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery,Dimensity 7300 5G Processor,"₹18,999",Bank Offer
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",4.2,"22,443 Ratings","1,462 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor,"₹11,999",Bank Offer
"CMF by Nothing Phone 2 Pro (White, 128 GB)",4.4,"78,213 Ratings","5,366 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 Pro 5G Processor,"₹18,999",Bank Offer
"Google Pixel 9A (Obsidian, 256 GB)",4.5,"8,289 Ratings",548 Reviews,8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,5100 mAh Battery,Tensor G4 Processor,"₹39,999",Bank Offer
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)",4.6,"57,857 Ratings","3,470 Reviews",8 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 12MP | 12MP Front Camera,4000 mAh Battery,8 Gen 3 Processor,"₹42,999",Bank Offer
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",4.2,"42,609 Ratings","2,577 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor,"₹10,499",Bank Offer
"Apple iPhone 17 (Black, 256 GB)",4.6,"6,431 Ratings",331 Reviews,256 GB ROM,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP | 18MP Front Camera,"A19 Chip, 6 Core Processor Processor",Apple One (1) Year Limited Warranty,"₹82,900",Bank Offer
"Apple iPhone 17 (Lavender, 256 GB)",4.6,"6,431 Ratings",331 Reviews,256 GB ROM,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP | 18MP Front Camera,"A19 Chip, 6 Core Processor Processor",Apple One (1) Year Limited Warranty,"₹82,900",Bank Offer
"MOTOROLA Edge 60 Pro (Pantone Shadow, 512 GB)",4.4,"2,831 Ratings",207 Reviews,16 GB RAM | 512 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery,Dimensity 8350 Processor,"₹37,999",Bank Offer
"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)",4.4,"78,213 Ratings","5,366 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 Pro 5G Processor,"₹18,999",Off on Exchange
"Apple iPhone 17 (Mist Blue, 256 GB)",4.6,"6,431 Ratings",331 Reviews,256 GB ROM,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP | 18MP Front Camera,"A19 Chip, 6 Core Processor Processor",Apple One (1) Year Limited Warranty,"₹82,900",Bank Offer
"CMF by Nothing Phone 2 Pro (Black, 256 GB)",4.4,"78,213 Ratings","5,366 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 Pro 5G Processor,"₹20,999",Bank Offer
"Apple iPhone 16 (Teal, 128 GB)",4.6,"2,13,744 Ratings","6,869 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,"₹64,900",Bank Offer
"Apple iPhone 16 (Black, 128 GB)",4.6,"2,13,744 Ratings","6,869 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,"₹64,900",Bank Offer
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4.2,"42,609 Ratings","2,577 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor,"₹10,499",Bank Offer
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)",4.4,"78,213 Ratings","5,366 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 Pro 5G Processor,"₹18,999",Off on Exchange
"vivo X200T (Stellar Black, 256 GB)",4.7,776 Ratings,133 Reviews,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ AMOLED Display,50MP + 50MP + 50MP | 32MP Front Camera,6200 mAh Battery,Dimensity 9400+ Processor,"₹59,999",Bank Offer
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 256 GB)",4.6,"57,857 Ratings","3,470 Reviews",8 GB RAM | 256 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 12MP | 12MP Front Camera,4000 mAh Battery,8 Gen 3 Processor,"₹47,999",Off on Exchange
